date,time_slot,price_per_kwh,demand_charge,total_cost_per_kwh,time_of_use_category
2025-01-07,12:00-18:00,9.8,2.94,12.75,off-peak
2025-01-07,18:00-22:00,14.45,4.34,18.79,peak
2025-01-07,22:00-24:00,8.19,2.46,10.64,off-peak
2025-01-08,00:00-06:00,7.94,2.38,10.32,off-peak
2025-01-08,06:00-09:00,10.2,3.06,13.27,off-peak
2025-01-08,09:00-12:00,12.11,3.63,15.75,peak
2025-01-08,12:00-18:00,9.94,2.98,12.92,off-peak
2025-01-08,18:00-22:00,14.31,4.29,18.6,peak
2025-01-08,22:00-24:00,8.01,2.4,10.41,off-peak
2025-01-09,00:00-06:00,7.99,2.4,10.38,off-peak
2025-01-09,06:00-09:00,10.51,3.15,13.66,off-peak
2025-01-09,09:00-12:00,12.08,3.62,15.7,peak
2025-01-09,12:00-18:00,10.48,3.14,13.62,off-peak
2025-01-09,18:00-22:00,13.7,4.11,17.81,peak
2025-01-09,22:00-24:00,8.91,2.67,11.58,off-peak
2025-01-10,00:00-06:00,7.73,2.32,10.05,off-peak
2025-01-10,06:00-09:00,10.52,3.16,13.68,off-peak
2025-01-10,09:00-12:00,12.8,3.84,16.64,peak
2025-01-10,12:00-18:00,10.45,3.13,13.58,off-peak
2025-01-10,18:00-22:00,13.9,4.17,18.07,peak
2025-01-10,22:00-24:00,8.07,2.42,10.49,off-peak
2025-01-11,00:00-06:00,7.52,2.26,9.78,off-peak
2025-01-11,06:00-09:00,10.87,3.26,14.14,off-peak
2025-01-11,09:00-12:00,12.48,3.74,16.22,peak
2025-01-11,12:00-18:00,9.65,2.89,12.54,off-peak
2025-01-11,18:00-22:00,13.96,4.19,18.15,peak
2025-01-11,22:00-24:00,8.22,2.47,10.69,off-peak
2025-01-12,00:00-06:00,8.2,2.46,10.66,off-peak
2025-01-12,06:00-09:00,10.41,3.12,13.53,off-peak
2025-01-12,09:00-12:00,12.73,3.82,16.55,peak
2025-01-12,12:00-18:00,10.27,3.08,13.34,off-peak
2025-01-12,18:00-22:00,13.87,4.16,18.04,peak
2025-01-12,22:00-24:00,8.66,2.6,11.26,off-peak
2025-01-13,00:00-06:00,8.27,2.48,10.76,off-peak
2025-01-13,06:00-09:00,10.05,3.02,13.07,off-peak
2025-01-13,09:00-12:00,12.19,3.66,15.85,peak
2025-01-13,12:00-18:00,10.48,3.14,13.63,off-peak
2025-01-13,18:00-22:00,13.51,4.05,17.56,peak
2025-01-13,22:00-24:00,8.31,2.49,10.81,off-peak
2025-01-14,00:00-06:00,8.28,2.48,10.77,off-peak
2025-01-14,06:00-09:00,10.32,3.09,13.41,off-peak
2025-01-14,09:00-12:00,12.82,3.85,16.67,peak
2025-01-14,12:00-18:00,9.63,2.89,12.52,off-peak
2025-01-14,18:00-22:00,14.38,4.31,18.69,peak
2025-01-14,22:00-24:00,8.47,2.54,11.01,off-peak
2025-01-15,00:00-06:00,7.54,2.26,9.8,off-peak
2025-01-15,06:00-09:00,10.62,3.19,13.81,off-peak
2025-01-15,09:00-12:00,12.28,3.68,15.96,peak
2025-01-15,12:00-18:00,10.2,3.06,13.26,off-peak
2025-01-15,18:00-22:00,14.4,4.32,18.72,peak
2025-01-15,22:00-24:00,8.08,2.43,10.51,off-peak
2025-01-16,00:00-06:00,7.74,2.32,10.07,off-peak
2025-01-16,06:00-09:00,10.39,3.12,13.51,off-peak
2025-01-16,09:00-12:00,12.96,3.89,16.85,peak
2025-01-16,12:00-18:00,9.91,2.97,12.88,off-peak
2025-01-16,18:00-22:00,13.61,4.08,17.7,peak
2025-01-16,22:00-24:00,8.3,2.49,10.79,off-peak
2025-01-17,00:00-06:00,7.52,2.26,9.78,off-peak
2025-01-17,06:00-09:00,10.19,3.06,13.25,off-peak
2025-01-17,09:00-12:00,12.61,3.78,16.39,peak
2025-01-17,12:00-18:00,9.67,2.9,12.57,off-peak
2025-01-17,18:00-22:00,14.42,4.33,18.74,peak
2025-01-17,22:00-24:00,8.71,2.61,11.33,off-peak
2025-01-18,00:00-06:00,8.19,2.46,10.64,off-peak
2025-01-18,06:00-09:00,10.45,3.13,13.58,off-peak
2025-01-18,09:00-12:00,12.78,3.83,16.61,peak
2025-01-18,12:00-18:00,9.69,2.91,12.59,off-peak
2025-01-18,18:00-22:00,13.94,4.18,18.13,peak
2025-01-18,22:00-24:00,8.99,2.7,11.69,off-peak
2025-01-19,00:00-06:00,7.79,2.34,10.12,off-peak
2025-01-19,06:00-09:00,10.41,3.12,13.53,off-peak
2025-01-19,09:00-12:00,12.22,3.67,15.89,peak
2025-01-19,12:00-18:00,9.58,2.87,12.45,off-peak
2025-01-19,18:00-22:00,13.9,4.17,18.07,peak
2025-01-19,22:00-24:00,8.15,2.44,10.59,off-peak
2025-01-20,00:00-06:00,8.01,2.4,10.42,off-peak
2025-01-20,06:00-09:00,10.75,3.23,13.98,off-peak
2025-01-20,09:00-12:00,12.85,3.85,16.7,peak
2025-01-20,12:00-18:00,9.67,2.9,12.57,off-peak
2025-01-20,18:00-22:00,14.4,4.32,18.72,peak
2025-01-20,22:00-24:00,8.36,2.51,10.87,off-peak
2025-01-21,00:00-06:00,7.95,2.38,10.33,off-peak
2025-01-21,06:00-09:00,10.58,3.17,13.76,off-peak
2025-01-21,09:00-12:00,12.15,3.64,15.79,peak
2025-01-21,12:00-18:00,10.34,3.1,13.44,off-peak
2025-01-21,18:00-22:00,14.29,4.29,18.58,peak
2025-01-21,22:00-24:00,8.47,2.54,11.01,off-peak
2025-01-22,00:00-06:00,7.82,2.35,10.16,off-peak
2025-01-22,06:00-09:00,10.5,3.15,13.65,off-peak
2025-01-22,09:00-12:00,12.65,3.8,16.45,peak
2025-01-22,12:00-18:00,10.2,3.06,13.26,off-peak
2025-01-22,18:00-22:00,13.94,4.18,18.12,peak
2025-01-22,22:00-24:00,8.03,2.41,10.43,off-peak
2025-01-23,00:00-06:00,8.21,2.46,10.68,off-peak
2025-01-23,06:00-09:00,10.32,3.1,13.42,off-peak
2025-01-23,09:00-12:00,12.88,3.86,16.74,peak
2025-01-23,12:00-18:00,9.92,2.98,12.9,off-peak
2025-01-23,18:00-22:00,14.3,4.29,18.58,peak
2025-01-23,22:00-24:00,8.37,2.51,10.88,off-peak
2025-01-24,00:00-06:00,7.87,2.36,10.23,off-peak
2025-01-24,06:00-09:00,10.76,3.23,13.99,off-peak
2025-01-24,09:00-12:00,12.54,3.76,16.3,peak
2025-01-24,12:00-18:00,9.76,2.93,12.68,off-peak
2025-01-24,18:00-22:00,14.34,4.3,18.64,peak
2025-01-24,22:00-24:00,8.63,2.59,11.22,off-peak
2025-01-25,00:00-06:00,8.13,2.44,10.57,off-peak
2025-01-25,06:00-09:00,10.78,3.24,14.02,off-peak
2025-01-25,09:00-12:00,12.63,3.79,16.42,peak
2025-01-25,12:00-18:00,9.76,2.93,12.69,off-peak
2025-01-25,18:00-22:00,13.51,4.05,17.56,peak
2025-01-25,22:00-24:00,8.79,2.64,11.43,off-peak
2025-01-26,00:00-06:00,8.46,2.54,10.99,off-peak
2025-01-26,06:00-09:00,10.72,3.22,13.94,off-peak
2025-01-26,09:00-12:00,12.83,3.85,16.67,peak
2025-01-26,12:00-18:00,10.36,3.11,13.47,off-peak
2025-01-26,18:00-22:00,13.75,4.13,17.88,peak
2025-01-26,22:00-24:00,8.36,2.51,10.86,off-peak
2025-01-27,00:00-06:00,8.23,2.47,10.7,off-peak
2025-01-27,06:00-09:00,10.44,3.13,13.57,off-peak
2025-01-27,09:00-12:00,12.64,3.79,16.43,peak
2025-01-27,12:00-18:00,9.77,2.93,12.7,off-peak
2025-01-27,18:00-22:00,14.21,4.26,18.48,peak
2025-01-27,22:00-24:00,8.59,2.58,11.17,off-peak
2025-01-28,00:00-06:00,8.46,2.54,10.99,off-peak
2025-01-28,06:00-09:00,10.92,3.28,14.2,off-peak
2025-01-28,09:00-12:00,12.56,3.77,16.33,peak
2025-01-28,12:00-18:00,9.75,2.93,12.68,off-peak
2025-01-28,18:00-22:00,13.89,4.17,18.06,peak
2025-01-28,22:00-24:00,8.74,2.62,11.36,off-peak
2025-01-29,00:00-06:00,7.92,2.38,10.3,off-peak
2025-01-29,06:00-09:00,10.82,3.25,14.07,off-peak
2025-01-29,09:00-12:00,12.24,3.67,15.91,peak
2025-01-29,12:00-18:00,10.27,3.08,13.35,off-peak
2025-01-29,18:00-22:00,14.28,4.29,18.57,peak
2025-01-29,22:00-24:00,8.18,2.46,10.64,off-peak
2025-01-30,00:00-06:00,7.59,2.28,9.86,off-peak
2025-01-30,06:00-09:00,10.6,3.18,13.78,off-peak
2025-01-30,09:00-12:00,12.77,3.83,16.61,peak
2025-01-30,12:00-18:00,10.44,3.13,13.57,off-peak
2025-01-30,18:00-22:00,14.18,4.25,18.44,peak
2025-01-30,22:00-24:00,8.68,2.6,11.29,off-peak
2025-01-31,00:00-06:00,7.93,2.38,10.31,off-peak
2025-01-31,06:00-09:00,10.32,3.1,13.41,off-peak
2025-01-31,09:00-12:00,12.42,3.73,16.15,peak
2025-01-31,12:00-18:00,10.2,3.06,13.26,off-peak
2025-01-31,18:00-22:00,14.48,4.35,18.83,peak
2025-01-31,22:00-24:00,8.69,2.61,11.29,off-peak
2025-02-01,00:00-06:00,8.08,2.42,10.5,off-peak
2025-02-01,06:00-09:00,10.41,3.12,13.54,off-peak
2025-02-01,09:00-12:00,12.39,3.72,16.1,peak
2025-02-01,12:00-18:00,9.93,2.98,12.91,off-peak
2025-02-01,18:00-22:00,13.99,4.2,18.19,peak
2025-02-01,22:00-24:00,8.43,2.53,10.96,off-peak
2025-02-02,00:00-06:00,8.37,2.51,10.89,off-peak
2025-02-02,06:00-09:00,10.02,3.01,13.02,off-peak
2025-02-02,09:00-12:00,12.56,3.77,16.33,peak
2025-02-02,12:00-18:00,10.34,3.1,13.45,off-peak
2025-02-02,18:00-22:00,13.94,4.18,18.12,peak
2025-02-02,22:00-24:00,8.87,2.66,11.53,off-peak
2025-02-03,00:00-06:00,8.1,2.43,10.53,off-peak
2025-02-03,06:00-09:00,10.28,3.08,13.36,off-peak
2025-02-03,09:00-12:00,12.22,3.66,15.88,peak
2025-02-03,12:00-18:00,9.54,2.86,12.41,off-peak
2025-02-03,18:00-22:00,14.2,4.26,18.46,peak
2025-02-03,22:00-24:00,8.65,2.6,11.25,off-peak
2025-02-04,00:00-06:00,8.28,2.48,10.77,off-peak
2025-02-04,06:00-09:00,10.96,3.29,14.24,off-peak
2025-02-04,09:00-12:00,12.33,3.7,16.03,peak
2025-02-04,12:00-18:00,9.74,2.92,12.67,off-peak
2025-02-04,18:00-22:00,13.78,4.13,17.91,peak
2025-02-04,22:00-24:00,8.56,2.57,11.12,off-peak
2025-02-05,00:00-06:00,7.97,2.39,10.36,off-peak
2025-02-05,06:00-09:00,10.09,3.03,13.12,off-peak
2025-02-05,09:00-12:00,12.22,3.67,15.89,peak
2025-02-05,12:00-18:00,10.06,3.02,13.07,off-peak
2025-02-05,18:00-22:00,14.47,4.34,18.82,peak
2025-02-05,22:00-24:00,8.76,2.63,11.39,off-peak
2025-02-06,00:00-06:00,8.48,2.54,11.03,off-peak
2025-02-06,06:00-09:00,10.72,3.22,13.94,off-peak
2025-02-06,09:00-12:00,12.99,3.9,16.88,peak
2025-02-06,12:00-18:00,9.75,2.92,12.67,off-peak
2025-02-06,18:00-22:00,14.42,4.32,18.74,peak
2025-02-06,22:00-24:00,8.67,2.6,11.27,off-peak
2025-02-07,00:00-06:00,8.1,2.43,10.53,off-peak
2025-02-07,06:00-09:00,10.7,3.21,13.91,off-peak
2025-02-07,09:00-12:00,12.57,3.77,16.34,peak
2025-02-07,12:00-18:00,9.86,2.96,12.82,off-peak
2025-02-07,18:00-22:00,14.31,4.29,18.61,peak
2025-02-07,22:00-24:00,8.37,2.51,10.88,off-peak
2025-02-08,00:00-06:00,7.93,2.38,10.31,off-peak
2025-02-08,06:00-09:00,10.79,3.24,14.03,off-peak
2025-02-08,09:00-12:00,12.97,3.89,16.87,peak
2025-02-08,12:00-18:00,9.81,2.94,12.76,off-peak
2025-02-08,18:00-22:00,14.48,4.34,18.82,peak
2025-02-08,22:00-24:00,8.89,2.67,11.55,off-peak
2025-02-09,00:00-06:00,7.7,2.31,10.01,off-peak
2025-02-09,06:00-09:00,10.16,3.05,13.21,off-peak
2025-02-09,09:00-12:00,12.82,3.85,16.66,peak
2025-02-09,12:00-18:00,9.57,2.87,12.44,off-peak
2025-02-09,18:00-22:00,14.48,4.35,18.83,peak
2025-02-09,22:00-24:00,8.21,2.46,10.67,off-peak
2025-02-10,00:00-06:00,7.52,2.26,9.78,off-peak
2025-02-10,06:00-09:00,10.66,3.2,13.86,off-peak
2025-02-10,09:00-12:00,12.57,3.77,16.34,peak
2025-02-10,12:00-18:00,10.41,3.12,13.53,off-peak
2025-02-10,18:00-22:00,13.64,4.09,17.73,peak
2025-02-10,22:00-24:00,8.19,2.46,10.64,off-peak
2025-02-11,00:00-06:00,8.23,2.47,10.7,off-peak
2025-02-11,06:00-09:00,10.39,3.12,13.51,off-peak
2025-02-11,09:00-12:00,12.63,3.79,16.42,peak
2025-02-11,12:00-18:00,9.53,2.86,12.4,off-peak
2025-02-11,18:00-22:00,14.31,4.29,18.6,peak
2025-02-11,22:00-24:00,8.26,2.48,10.74,off-peak
2025-02-12,00:00-06:00,8.03,2.41,10.44,off-peak
2025-02-12,06:00-09:00,10.69,3.21,13.9,off-peak
2025-02-12,09:00-12:00,12.17,3.65,15.82,peak
2025-02-12,12:00-18:00,9.58,2.87,12.45,off-peak
2025-02-12,18:00-22:00,13.5,4.05,17.55,peak
2025-02-12,22:00-24:00,8.06,2.42,10.48,off-peak
2025-02-13,00:00-06:00,8.41,2.52,10.93,off-peak
2025-02-13,06:00-09:00,10.52,3.16,13.68,off-peak
2025-02-13,09:00-12:00,12.06,3.62,15.68,peak
2025-02-13,12:00-18:00,10.5,3.15,13.65,off-peak
2025-02-13,18:00-22:00,13.59,4.08,17.67,peak
2025-02-13,22:00-24:00,8.92,2.68,11.59,off-peak
2025-02-14,00:00-06:00,7.72,2.32,10.03,off-peak
2025-02-14,06:00-09:00,10.7,3.21,13.91,off-peak
2025-02-14,09:00-12:00,12.23,3.67,15.9,peak
2025-02-14,12:00-18:00,10.49,3.15,13.64,off-peak
2025-02-14,18:00-22:00,13.68,4.1,17.78,peak
2025-02-14,22:00-24:00,8.35,2.51,10.86,off-peak
2025-02-15,00:00-06:00,7.64,2.29,9.93,off-peak
2025-02-15,06:00-09:00,10.49,3.15,13.64,off-peak
2025-02-15,09:00-12:00,12.43,3.73,16.16,peak
2025-02-15,12:00-18:00,10.31,3.09,13.41,off-peak
2025-02-15,18:00-22:00,14.35,4.31,18.66,peak
2025-02-15,22:00-24:00,8.86,2.66,11.52,off-peak
2025-02-16,00:00-06:00,7.54,2.26,9.8,off-peak
2025-02-16,06:00-09:00,10.18,3.05,13.23,off-peak
2025-02-16,09:00-12:00,12.64,3.79,16.43,peak
2025-02-16,12:00-18:00,10.1,3.03,13.13,off-peak
2025-02-16,18:00-22:00,14.31,4.29,18.6,peak
2025-02-16,22:00-24:00,8.77,2.63,11.41,off-peak
2025-02-17,00:00-06:00,7.72,2.31,10.03,off-peak
2025-02-17,06:00-09:00,10.34,3.1,13.45,off-peak
2025-02-17,09:00-12:00,12.57,3.77,16.34,peak
2025-02-17,12:00-18:00,10.36,3.11,13.47,off-peak
2025-02-17,18:00-22:00,14.03,4.21,18.23,peak
2025-02-17,22:00-24:00,8.69,2.61,11.3,off-peak
2025-02-18,00:00-06:00,7.89,2.37,10.25,off-peak
2025-02-18,06:00-09:00,10.1,3.03,13.13,off-peak
2025-02-18,09:00-12:00,12.44,3.73,16.17,peak
2025-02-18,12:00-18:00,9.66,2.9,12.56,off-peak
2025-02-18,18:00-22:00,13.86,4.16,18.02,peak
2025-02-18,22:00-24:00,8.3,2.49,10.79,off-peak
2025-02-19,00:00-06:00,7.75,2.32,10.07,off-peak
2025-02-19,06:00-09:00,10.69,3.21,13.89,off-peak
2025-02-19,09:00-12:00,12.2,3.66,15.86,peak
2025-02-19,12:00-18:00,10.18,3.05,13.23,off-peak
2025-02-19,18:00-22:00,13.54,4.06,17.6,peak
2025-02-19,22:00-24:00,8.67,2.6,11.28,off-peak
2025-02-20,00:00-06:00,7.54,2.26,9.81,off-peak
2025-02-20,06:00-09:00,10.18,3.05,13.23,off-peak
2025-02-20,09:00-12:00,12.5,3.75,16.25,peak
2025-02-20,12:00-18:00,10.49,3.15,13.63,off-peak
2025-02-20,18:00-22:00,14.14,4.24,18.38,peak
2025-02-20,22:00-24:00,8.0,2.4,10.4,off-peak
2025-02-21,00:00-06:00,8.28,2.48,10.76,off-peak
2025-02-21,06:00-09:00,10.34,3.1,13.44,off-peak
2025-02-21,09:00-12:00,12.99,3.9,16.89,peak
2025-02-21,12:00-18:00,10.11,3.03,13.14,off-peak
2025-02-21,18:00-22:00,14.43,4.33,18.75,peak
2025-02-21,22:00-24:00,8.05,2.41,10.46,off-peak
2025-02-22,00:00-06:00,7.87,2.36,10.23,off-peak
2025-02-22,06:00-09:00,10.29,3.09,13.37,off-peak
2025-02-22,09:00-12:00,12.37,3.71,16.09,peak
2025-02-22,12:00-18:00,9.8,2.94,12.75,off-peak
2025-02-22,18:00-22:00,13.78,4.13,17.91,peak
2025-02-22,22:00-24:00,8.48,2.54,11.03,off-peak
2025-02-23,00:00-06:00,8.28,2.48,10.76,off-peak
2025-02-23,06:00-09:00,10.65,3.19,13.84,off-peak
2025-02-23,09:00-12:00,12.37,3.71,16.08,peak
2025-02-23,12:00-18:00,10.09,3.03,13.12,off-peak
2025-02-23,18:00-22:00,14.41,4.32,18.73,peak
2025-02-23,22:00-24:00,8.27,2.48,10.75,off-peak
2025-02-24,00:00-06:00,8.0,2.4,10.4,off-peak
2025-02-24,06:00-09:00,10.91,3.27,14.19,off-peak
2025-02-24,09:00-12:00,12.73,3.82,16.55,peak
2025-02-24,12:00-18:00,9.67,2.9,12.58,off-peak
2025-02-24,18:00-22:00,14.29,4.29,18.58,peak
2025-02-24,22:00-24:00,8.8,2.64,11.44,off-peak
2025-02-25,00:00-06:00,8.25,2.47,10.72,off-peak
2025-02-25,06:00-09:00,10.6,3.18,13.77,off-peak
2025-02-25,09:00-12:00,12.12,3.64,15.75,peak
2025-02-25,12:00-18:00,9.97,2.99,12.96,off-peak
2025-02-25,18:00-22:00,13.59,4.08,17.66,peak
2025-02-25,22:00-24:00,8.52,2.56,11.07,off-peak
2025-02-26,00:00-06:00,7.91,2.37,10.28,off-peak
2025-02-26,06:00-09:00,10.01,3.0,13.01,off-peak
2025-02-26,09:00-12:00,12.78,3.83,16.61,peak
2025-02-26,12:00-18:00,10.15,3.05,13.2,off-peak
2025-02-26,18:00-22:00,13.74,4.12,17.86,peak
2025-02-26,22:00-24:00,8.64,2.59,11.23,off-peak
2025-02-27,00:00-06:00,8.04,2.41,10.46,off-peak
2025-02-27,06:00-09:00,10.51,3.15,13.66,off-peak
2025-02-27,09:00-12:00,12.38,3.71,16.09,peak
2025-02-27,12:00-18:00,9.54,2.86,12.41,off-peak
2025-02-27,18:00-22:00,14.49,4.35,18.83,peak
2025-02-27,22:00-24:00,8.51,2.55,11.06,off-peak
2025-02-28,00:00-06:00,7.55,2.27,9.82,off-peak
2025-02-28,06:00-09:00,10.05,3.02,13.07,off-peak
2025-02-28,09:00-12:00,12.77,3.83,16.6,peak
2025-02-28,12:00-18:00,9.84,2.95,12.8,off-peak
2025-02-28,18:00-22:00,13.93,4.18,18.11,peak
2025-02-28,22:00-24:00,8.62,2.58,11.2,off-peak
2025-03-01,00:00-06:00,7.5,2.25,9.75,off-peak
2025-03-01,06:00-09:00,10.52,3.15,13.67,off-peak
2025-03-01,09:00-12:00,12.69,3.81,16.5,peak
2025-03-01,12:00-18:00,9.89,2.97,12.86,off-peak
2025-03-01,18:00-22:00,13.66,4.1,17.76,peak
2025-03-01,22:00-24:00,8.85,2.66,11.51,off-peak
2025-03-02,00:00-06:00,7.9,2.37,10.27,off-peak
2025-03-02,06:00-09:00,11.0,3.3,14.3,off-peak
2025-03-02,09:00-12:00,12.54,3.76,16.3,peak
2025-03-02,12:00-18:00,9.63,2.89,12.51,off-peak
2025-03-02,18:00-22:00,13.58,4.07,17.65,peak
2025-03-02,22:00-24:00,8.21,2.46,10.67,off-peak
2025-03-03,00:00-06:00,8.39,2.52,10.91,off-peak
2025-03-03,06:00-09:00,10.49,3.15,13.64,off-peak
2025-03-03,09:00-12:00,12.83,3.85,16.68,peak
2025-03-03,12:00-18:00,10.17,3.05,13.22,off-peak
2025-03-03,18:00-22:00,14.36,4.31,18.67,peak
2025-03-03,22:00-24:00,8.52,2.56,11.07,off-peak
2025-03-04,00:00-06:00,8.32,2.5,10.81,off-peak
2025-03-04,06:00-09:00,10.94,3.28,14.23,off-peak
2025-03-04,09:00-12:00,12.14,3.64,15.79,peak
2025-03-04,12:00-18:00,10.5,3.15,13.65,off-peak
2025-03-04,18:00-22:00,14.24,4.27,18.51,peak
2025-03-04,22:00-24:00,8.57,2.57,11.15,off-peak
2025-03-05,00:00-06:00,8.49,2.55,11.04,off-peak
2025-03-05,06:00-09:00,10.17,3.05,13.22,off-peak
2025-03-05,09:00-12:00,12.65,3.79,16.44,peak
2025-03-05,12:00-18:00,9.69,2.91,12.59,off-peak
2025-03-05,18:00-22:00,14.01,4.2,18.21,peak
2025-03-05,22:00-24:00,8.04,2.41,10.45,off-peak
2025-03-06,00:00-06:00,7.84,2.35,10.2,off-peak
2025-03-06,06:00-09:00,10.87,3.26,14.14,off-peak
2025-03-06,09:00-12:00,12.76,3.83,16.59,peak
2025-03-06,12:00-18:00,9.9,2.97,12.87,off-peak
2025-03-06,18:00-22:00,13.67,4.1,17.77,peak
2025-03-06,22:00-24:00,8.06,2.42,10.48,off-peak
2025-03-07,00:00-06:00,8.45,2.54,10.99,off-peak
2025-03-07,06:00-09:00,10.43,3.13,13.56,off-peak
2025-03-07,09:00-12:00,12.72,3.82,16.54,peak
2025-03-07,12:00-18:00,10.41,3.12,13.53,off-peak
2025-03-07,18:00-22:00,14.24,4.27,18.51,peak
2025-03-07,22:00-24:00,8.47,2.54,11.01,off-peak
2025-03-08,00:00-06:00,7.87,2.36,10.23,off-peak
2025-03-08,06:00-09:00,10.87,3.26,14.14,off-peak
2025-03-08,09:00-12:00,12.32,3.7,16.01,peak
2025-03-08,12:00-18:00,9.83,2.95,12.78,off-peak
2025-03-08,18:00-22:00,14.26,4.28,18.53,peak
2025-03-08,22:00-24:00,8.59,2.58,11.16,off-peak
2025-03-09,00:00-06:00,7.93,2.38,10.31,off-peak
2025-03-09,06:00-09:00,10.45,3.14,13.59,off-peak
2025-03-09,09:00-12:00,12.58,3.78,16.36,peak
2025-03-09,12:00-18:00,9.94,2.98,12.92,off-peak
2025-03-09,18:00-22:00,13.82,4.15,17.96,peak
2025-03-09,22:00-24:00,8.91,2.67,11.58,off-peak
2025-03-10,00:00-06:00,8.01,2.4,10.41,off-peak
2025-03-10,06:00-09:00,10.2,3.06,13.26,off-peak
2025-03-10,09:00-12:00,12.16,3.65,15.81,peak
2025-03-10,12:00-18:00,9.79,2.94,12.72,off-peak
2025-03-10,18:00-22:00,14.49,4.35,18.83,peak
2025-03-10,22:00-24:00,8.92,2.68,11.6,off-peak
2025-03-11,00:00-06:00,7.59,2.28,9.87,off-peak
2025-03-11,06:00-09:00,10.08,3.03,13.11,off-peak
2025-03-11,09:00-12:00,12.38,3.71,16.1,peak
2025-03-11,12:00-18:00,10.01,3.0,13.02,off-peak
2025-03-11,18:00-22:00,13.8,4.14,17.94,peak
2025-03-11,22:00-24:00,8.66,2.6,11.25,off-peak
2025-03-12,00:00-06:00,7.93,2.38,10.31,off-peak
2025-03-12,06:00-09:00,10.54,3.16,13.7,off-peak
2025-03-12,09:00-12:00,12.28,3.68,15.96,peak
2025-03-12,12:00-18:00,9.57,2.87,12.44,off-peak
2025-03-12,18:00-22:00,14.19,4.26,18.45,peak
2025-03-12,22:00-24:00,8.73,2.62,11.34,off-peak
2025-03-13,00:00-06:00,7.97,2.39,10.37,off-peak
2025-03-13,06:00-09:00,10.86,3.26,14.12,off-peak
2025-03-13,09:00-12:00,12.31,3.69,16.0,peak
2025-03-13,12:00-18:00,10.22,3.07,13.29,off-peak
2025-03-13,18:00-22:00,14.08,4.22,18.3,peak
2025-03-13,22:00-24:00,8.43,2.53,10.96,off-peak
2025-03-14,00:00-06:00,7.71,2.31,10.03,off-peak
2025-03-14,06:00-09:00,10.66,3.2,13.86,off-peak
2025-03-14,09:00-12:00,12.16,3.65,15.81,peak
2025-03-14,12:00-18:00,10.23,3.07,13.29,off-peak
2025-03-14,18:00-22:00,13.71,4.11,17.83,peak
2025-03-14,22:00-24:00,8.02,2.41,10.42,off-peak
2025-03-15,00:00-06:00,7.8,2.34,10.14,off-peak
2025-03-15,06:00-09:00,10.86,3.26,14.12,off-peak
2025-03-15,09:00-12:00,12.03,3.61,15.64,peak
2025-03-15,12:00-18:00,9.56,2.87,12.43,off-peak
2025-03-15,18:00-22:00,14.03,4.21,18.24,peak
2025-03-15,22:00-24:00,8.0,2.4,10.41,off-peak
